_id,count_id,count_date,location_name,longitude,latitude,centreline_type,centreline_id,px,start_time,end_time,n_appr_cars_r,n_appr_cars_t,n_appr_cars_l,s_appr_cars_r,s_appr_cars_t,s_appr_cars_l,e_appr_cars_r,e_appr_cars_t,e_appr_cars_l,w_appr_cars_r,w_appr_cars_t,w_appr_cars_l,n_appr_truck_r,n_appr_truck_t,n_appr_truck_l,s_appr_truck_r,s_appr_truck_t,s_appr_truck_l,e_appr_truck_r,e_appr_truck_t,e_appr_truck_l,w_appr_truck_r,w_appr_truck_t,w_appr_truck_l,n_appr_bus_r,n_appr_bus_t,n_appr_bus_l,s_appr_bus_r,s_appr_bus_t,s_appr_bus_l,e_appr_bus_r,e_appr_bus_t,e_appr_bus_l,w_appr_bus_r,w_appr_bus_t,w_appr_bus_l,n_appr_peds,s_appr_peds,e_appr_peds,w_appr_peds,n_appr_bike,s_appr_bike,e_appr_bike,w_appr_bike
328263,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T09:00:00,2026-06-30T09:15:00,34,218,26,15,182,36,35,168,29,60,115,47,2,4,1,2,3,1,0,6,1,1,6,1,0,11,0,3,7,3,0,0,2,5,0,0,29,13,26,32,3,2,2,1
328264,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T14:15:00,2026-06-30T14:30:00,57,199,35,16,228,45,35,181,28,68,183,59,2,1,0,0,0,1,2,10,1,2,4,1,0,6,0,5,5,3,0,1,3,3,0,0,27,39,42,40,2,3,1,0
330754,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T06:00:00,2026-06-30T06:15:00,17,81,9,4,38,20,2,83,11,21,49,8,0,1,0,0,4,1,0,0,1,0,0,0,0,6,0,6,4,5,0,0,4,6,1,0,17,12,13,19,0,0,0,0
330755,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T07:15:00,2026-06-30T07:30:00,17,159,23,11,100,19,17,150,20,57,140,27,0,4,0,0,0,0,0,1,0,0,6,3,0,12,0,4,11,3,0,0,3,5,0,0,18,22,20,13,1,0,1,0
330756,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T16:00:00,2026-06-30T16:15:00,32,231,28,17,231,22,31,194,26,75,165,58,3,1,0,0,4,1,0,5,2,2,2,1,0,6,0,3,12,5,0,0,5,3,0,0,53,32,34,68,3,6,0,2
330757,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T17:15:00,2026-06-30T17:30:00,40,220,39,4,218,27,57,194,49,65,193,67,1,1,0,0,1,0,0,2,2,0,1,0,0,8,0,4,9,3,0,0,5,6,1,0,32,57,44,53,2,3,1,4
330758,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T19:15:00,2026-06-30T19:30:00,43,218,28,6,204,50,33,172,42,88,157,65,0,0,0,1,2,0,1,2,0,1,0,2,0,6,0,2,5,6,0,0,3,3,0,0,30,39,31,42,0,6,1,1
356593,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T06:30:00,2026-06-30T06:45:00,18,104,11,4,90,23,10,124,14,41,82,12,0,0,0,0,2,0,0,1,0,0,1,0,0,7,0,3,6,5,0,0,5,4,0,0,25,23,21,19,0,0,1,0
356594,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T15:00:00,2026-06-30T15:15:00,55,202,45,12,219,43,25,166,33,65,175,61,0,1,1,0,1,1,3,7,1,0,1,1,0,10,0,3,5,5,0,0,3,8,0,0,31,36,30,47,3,1,1,1
357257,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T06:15:00,2026-06-30T06:30:00,13,83,14,6,42,20,0,112,7,29,75,11,1,2,0,0,0,0,0,2,0,0,2,0,0,8,0,4,6,6,0,0,5,5,0,0,25,17,10,35,2,0,1,0
357258,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T07:00:00,2026-06-30T07:15:00,17,155,19,9,76,21,10,137,12,53,93,21,0,4,1,0,2,2,0,1,1,1,4,0,0,11,0,5,8,5,0,1,5,4,0,0,20,24,25,24,0,0,0,0
357259,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T10:15:00,2026-06-30T10:30:00,39,183,44,9,159,37,44,164,35,56,131,49,1,7,1,0,5,1,0,5,0,0,7,0,0,4,0,3,5,5,0,0,5,6,0,0,35,17,27,64,0,1,0,1
357260,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T10:45:00,2026-06-30T11:00:00,50,168,48,11,182,39,41,176,35,50,157,50,4,3,0,2,1,2,3,2,0,2,3,5,0,4,0,3,4,5,0,0,3,5,0,0,44,28,36,64,2,0,0,1
357261,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T14:00:00,2026-06-30T14:15:00,59,204,31,17,214,35,36,174,26,57,173,57,3,5,2,2,4,2,2,6,1,2,2,0,0,6,0,2,6,4,0,0,3,4,0,0,40,40,42,49,2,1,1,0
357262,116429,2026-06-30,Steeles Ave E / Yonge St / Steeles Ave W,-79.420060868408,43.7980294054522,2,13443870,131,2026-06-30T16:15:00,2026-06-30T16:30:00,47,234,26,6,264,20,50,186,36,70,207,56,0,0,0,0,1,1,0,6,0,4,2,2,0,10,0,4,6,5,0,0,1,2,0,0,52,38,35,57,2,5,0,4
